220001 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,DEBIT,PREMIUM
220056 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,DEBIT,
356299 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,CREDIT,STANDARD
356466 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,CREDIT,STANDARD
356467 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,CREDIT,BUSINESS
356468 ,RUSSIAN FEDERATION ,GAZPROMBANK,MIR,CREDIT,GOLD
411927 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,DEBIT,CLASSIC
411928 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,DEBIT,GOLD
424976 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,DEBIT,ELECTRON
430299 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,CREDIT,
430643 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,DEBIT,GOLD
433316 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,CREDIT,
465882 ,RUSSIAN FEDERATION ,GAZPROMBANK,VISA,CREDIT,
510162 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,STANDARD
511223 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,BUSINESS
512347 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,DEBIT,STANDARD
516454 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,PLATINUM
517593 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,WORLD BUSINESS
518228 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,STANDARD
518365 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,DEBIT,GOLD
518373 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,GOLD
518704 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,BUSINESS
521155 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,DEBIT,PREPAID
522193 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,STANDARD
522477 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,DEBIT,STANDARD
522988 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,PLATINUM
525780 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,GOLD
525833 ,RUSSIAN FEDERATION ,GAZPROMBANK,MASTERCARD,CREDIT,WORLD
