shop_name	product_type
Мвидео	electronics
Эльдорадо	electronics
Ситилинк	electronics
ДНС	electronics
Технопарк	electronics
ReStore	electronics
Media Markt	electronics
RBT	electronics
Технолав	electronics
PiterGSM	electronics
Онлайнтрейд ру	electronics
Цифрус	electronics
Trade59	electronics
Хатико-Техника	electronics
Мегафон	electronics
Теле2	electronics
МТС.shop	electronics
мегамаркет	electronics
ozon	electronics
lamoda	clothes
juun	clothes
стокманн	clothes
funday	clothes
streetbeat	clothes
Wildberries	clothes
happywear	clothes
henderson	clothes
ЦУМ	clothes
loverepublic	clothes
остин	clothes
спортмастер	clothes
Finn Flare	clothes
lichi	clothes
ТВОЕ	clothes
Ранде Ву	clothes
us mail	clothes
Яндекс Маркет	clothes
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
